ticker;year_report;quarter_report;period_date;pe;pb;ps;price_to_cash_flow;ev_to_ebitda;roe;roa;gross_margin;pre_tax_margin;after_tax_margin;debt_to_equity;financial_leverage;current_ratio;quick_ratio;cash_ratio;asset_turnover;market_cap;shares;net_interest_margin;cir;car;casa_ratio;npl;ldr;loans_growth;deposit_growth
PGC;2024;1;;9.3876944474;0.9989087731;0.2452824273;10.8453599395;14.1974901764;0.1108226823;0.0366951022;0.1848871133;0.0369434062;0.0279657856;2.1303280527;2.1303280527;1.0166314505;0.9309094073;0.0426376965;1.4044316612;880953561000.0;60339285.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGC;2024;2;;8.7462305644;1.0590464468;0.2279523843;4.0317850875;13.388965764;0.117181417;0.0374771051;0.1832466006;0.0364443873;0.0276594058;2.4484993726;2.4484993726;0.8457835652;0.7636229701;0.0578044569;1.437946804;868885704000.0;60339285.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGC;2024;3;;8.5652933539;1.1220023772;0.2326455992;2.9540610157;12.2426311627;0.130673566;0.0407638465;0.1772619826;0.0373788287;0.0288877465;2.1543249322;2.1543249322;0.9353598503;0.8423492479;0.0635652922;1.500799089;953360703000.0;60339285.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGC;2024;4;;8.1545938203;1.018209383;0.2060638298;2.5527398207;11.8943562189;0.1258122448;0.0393052758;0.1725225067;0.0347462641;0.0269769046;2.3717897738;2.3717897738;0.95025531;0.8461596454;0.0469166153;1.5554333811;883970525250.0;60339285.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGC;2025;1;;7.8545894081;0.9388943942;0.1899511873;4.8376515546;15.3794110541;0.1244671312;0.0359631286;0.1728677373;0.0336958023;0.0260652182;2.6514906234;2.6514906234;1.0733910439;0.9825060571;0.0382352789;1.4870957777;838716061500.0;60339285.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGC;2025;2;;7.9006506234;1.0091058145;0.1794911126;20.2693758297;15.7425465944;0.1216663301;0.0338505101;0.173401352;0.0316005344;0.0243923697;2.9985536402;2.9985536402;1.1416469615;1.0682766194;0.0461287997;1.489996076;823631240250.0;60339285.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGC;2025;3;;8.3593999405;1.0124024027;0.182059982;8.0156891599;14.8586225759;0.1194229751;0.0316079385;0.1762306327;0.02985805;0.0229914881;2.8924580204;2.8924580204;1.1507740203;1.0679507663;0.0354831464;1.4512986105;853800882750.0;60339285.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGC;2025;4;;7.4193017335;0.9582810276;0.1790480412;4.0190451774;14.3536248257;0.1294514536;0.0367401376;0.183696517;0.0324869002;0.0252370014;2.5598725487;2.5598725487;1.1584319407;1.0739815942;0.0343060729;1.522419151;835699097250.0;60339285.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGD;2024;1;;17.9738680453;2.3933769728;0.347280108;-134.2842114753;9.4676217066;0.1300372588;0.0544936186;0.0659770483;0.0244555519;0.0193213896;1.2765740181;1.2765740181;1.5605966919;1.5348597912;0.5685577086;2.8203778072;3435206691700.0;98997311.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGD;2024;2;;12.5218911206;1.9932139015;0.3030285874;17.7354067326;4.266011718;0.1718362246;0.0699826776;0.074254207;0.0308764703;0.024199906;1.4992310216;1.4992310216;1.4941534847;1.4739294574;0.7139840868;2.8918574216;3068916641000.0;98997311.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGD;2024;3;;9.693404186;1.9041635869;0.2929463232;11.6995602917;3.4819664154;0.212973916;0.0892679433;0.0821755821;0.0380821403;0.0302212017;1.3629619387;1.3629619387;1.5583756116;1.5367655566;0.7186572771;2.9538184536;3098615834300.0;98997311.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGD;2024;4;;11.9193266404;2.0100521973;0.2715318608;4.7732405236;4.0229742892;0.1730905443;0.0698816343;0.0702273968;0.028608633;0.0227808054;1.5503494567;1.5503494567;1.4748829673;1.4536536558;0.6046021333;3.0675664482;2969919330000.0;98997311.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGD;2025;1;;11.7918339214;1.6975412537;0.2235464601;4.7149689206;4.7415190659;0.1388272982;0.056295799;0.0641552903;0.0235032668;0.0189577348;1.4606320268;1.4606320268;1.5116526488;1.4891495755;0.5246259036;2.9695424931;2504631968300.0;98997311.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGD;2025;2;;14.8115109927;1.5505083811;0.2097736456;12.6996314652;4.848630498;0.1046425054;0.042626074;0.0602341885;0.0174182142;0.0141628795;1.4549572815;1.4549572815;1.5278684142;1.5043806847;0.5898481054;3.00970392;2366035732900.0;98997311.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGD;2025;3;;17.5724148459;1.4999877449;0.2089822704;11.0666217852;5.1440590431;0.0897512836;0.0362863164;0.0569134143;0.0148357945;0.0118926324;1.4317042558;1.4317042558;1.5460103442;1.523785196;0.6391576034;3.0511593379;2395734926200.0;98997311.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGD;2025;4;;13.9365515904;1.590145878;0.204864894;-49.3200876589;4.1296163744;0.1140197977;0.0458534324;0.0583096074;0.0183207076;0.0146998268;1.4227905226;1.4227905226;1.525905048;1.4996911703;0.532680628;3.1193178771;2346236270700.0;98997311.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGI;2024;1;;10.9104940234;1.4490499779;0.7987563102;-10.6826644241;-4.853665525;0.1325460721;0.0332504544;0.1647082265;0.0907267942;0.0732099123;3.1435948011;3.1435948011;1.1046453031;1.1022176551;0.6858617609;0.4541796784;2639343744800.0;110896796.0;0.0;0.0;;;0.0;0.0;0.0;0.0
