symbol,period_type,period,roe,roa,eps,pe,pb,net_margin,debt_to_equity,profit_after_tax,status,source
VIC,year,2018,0.0836,0.0205,3.28,,8.45,0.0565,2.7607,0.06,PARTIAL,vnstock
VIC,year,2024,0.0948,0.0158,,22.97,1.96,0.0279,4.4383,11734478056232.27,PARTIAL,csv
VIC,year,2025,0.0797,0.0116,,120.58,9.24,0.0333,6.3842,11311399057425.1,PARTIAL,csv
VND,quarter,2024-Q1,0.1556,0.0601,,8.59,1.28,0.3751,1.4144,2915866635792.52,PARTIAL,csv
VND,quarter,2024-Q2,0.1454,0.057,,8.39,1.17,0.3706,1.6124,2747933857608.89,PARTIAL,csv
VND,quarter,2024-Q3,0.13,0.0533,,6.55,0.88,0.3784,1.2245,2614019949186.03,PARTIAL,csv
VND,quarter,2024-Q4,0.0949,0.0399,,12.16,1.16,0.3227,1.2467,1877244145656.38,PARTIAL,csv
VND,quarter,2025-Q1,0.0775,0.0325,,17.49,1.35,0.2855,1.4924,1554051061789.06,PARTIAL,csv
VND,quarter,2025-Q2,0.0764,0.0325,,23.46,1.81,0.2751,1.4409,1515478874666.2,PARTIAL,csv
VND,quarter,2025-Q3,0.0966,0.0389,,16.24,1.53,0.3006,1.7266,1931407909654.9,PARTIAL,csv
VND,quarter,2025-Q4,0.0996,0.0422,,12.65,1.22,0.3045,1.4699,2022085027289.94,PARTIAL,csv
VND,quarter,2026-Q1,0.1059,0.0429,,12.33,1.26,0.3039,1.2363,2184890510821.33,PARTIAL,csv
VND,quarter,2026-Q2,0.128,0.0525,,8.57,1.08,0.3688,1.3267,2698932822089.11,PARTIAL,csv
VND,year,2018,0.1793,0.0539,2.75,,1.05,0.3091,2.6684,0.31,PARTIAL,vnstock
VND,year,2024,0.0949,0.0399,,12.16,1.16,0.3227,1.2467,1877244145656.38,PARTIAL,csv
VND,year,2025,0.0996,0.0422,,12.65,1.22,0.3045,1.4699,2022085027289.94,PARTIAL,csv
VNM,quarter,2024-Q1,0.2886,0.1752,,15.04,4.35,0.1539,0.4401,9211746125223.75,PARTIAL,csv
VNM,quarter,2024-Q2,0.3013,0.1814,,14.5,4.09,0.1578,0.4136,9683409957962.93,PARTIAL,csv
VNM,quarter,2024-Q3,0.2969,0.1775,,13.42,4.1,0.1559,0.6365,9594675047841.71,PARTIAL,csv
VNM,quarter,2024-Q4,0.2936,0.1744,,12.53,3.65,0.153,0.5218,9392310356253.24,PARTIAL,csv
VNM,quarter,2025-Q1,0.2663,0.158,,14.38,3.74,0.1458,0.4623,8766125578767.33,PARTIAL,csv
VNM,quarter,2025-Q2,0.2655,0.1537,,15.49,4.18,0.1422,0.5491,8570235859472.98,PARTIAL,csv
VNM,quarter,2025-Q3,0.2637,0.1573,,16.28,4.15,0.1407,0.467,8693483313478.26,PARTIAL,csv
VNM,quarter,2025-Q4,0.2989,0.1737,,13.61,4.18,0.1479,0.546,9410201646671.29,PARTIAL,csv
VNM,quarter,2026-Q1,0.3174,0.187,,11.4,3.56,0.1538,0.5108,10270439271716.24,PARTIAL,csv
VNM,quarter,2026-Q2,0.3386,0.1976,,11.67,4.01,0.1592,0.6108,10962885104073.49,PARTIAL,csv
VNM,year,2018,0.4068,0.3014,4.78,,9.48,0.1962,0.3438,0.2,PARTIAL,vnstock
VNM,year,2024,0.2936,0.1744,,12.53,3.65,0.153,0.5218,9392310356253.24,PARTIAL,csv
VNM,year,2025,0.2989,0.1737,,13.61,4.18,0.1479,0.546,9410201646671.29,PARTIAL,csv
