symbol,time,close,ema20,ema50,volume,volume_ma20,previous_close,ema_condition,volume_price_condition,momentum_score,layer3_pass
GMD,2026-09-21 14:45:00,77.0,77.16761971672156,76.95854971330492,99100,44565.0,76.5,True,True,2,True
TCB,2026-09-21 14:45:00,32.25,32.00948951800818,32.18660612860805,2524600,1105865.0,31.95,False,True,1,False
VNM,2026-09-21 14:45:00,60.3,60.63577021481287,60.52095838496899,199100,303225.0,60.6,True,False,1,False
SAB,2026-09-21 14:45:00,43.85,44.10420225959426,44.29621710343004,42700,34805.0,43.85,False,False,0,False
VCB,2026-09-21 14:45:00,58.9,59.362463801982564,59.56531155150267,288200,494710.0,59.1,False,False,0,False
VHM,2026-09-21 14:45:00,68.1,69.93602877251053,70.83570841412788,1700900,1525795.0,68.9,False,False,0,False
VND,2026-09-21 14:45:00,14.7,14.959077584557626,15.004057011044905,1619500,838615.0,14.9,False,False,0,False
